day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
Wednesday,cicflowmeter-orig,argus,DoS Slowhttptest,5104,8,0,5093,3
Wednesday,cicflowmeter-orig,argus,DoS slowloris,5725,0,0,5714,11
Wednesday,cicflowmeter-orig,argus,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-orig,go-flows,ALL,777036,99729,39300,165260,472747
Wednesday,cicflowmeter-orig,go-flows,BENIGN,373895,68718,196,88880,216101
Wednesday,cicflowmeter-orig,go-flows,DoS GoldenEye,10490,4726,0,5686,78
Wednesday,cicflowmeter-orig,go-flows,DoS Hulk,381811,18921,39104,67930,255856
Wednesday,cicflowmeter-orig,go-flows,DoS Slowhttptest,5104,3601,0,1219,284
Wednesday,cicflowmeter-orig,go-flows,DoS slowloris,5725,3763,0,1534,428
Wednesday,cicflowmeter-orig,go-flows,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-orig,yaf,ALL,777036,102355,39159,174612,460910
Wednesday,cicflowmeter-orig,yaf,BENIGN,373895,71686,196,96685,205328
Wednesday,cicflowmeter-orig,yaf,DoS GoldenEye,10490,4585,0,5827,78
Wednesday,cicflowmeter-orig,yaf,DoS Hulk,381811,18900,38963,68737,255211
Wednesday,cicflowmeter-orig,yaf,DoS Slowhttptest,5104,3597,0,1225,282
Wednesday,cicflowmeter-orig,yaf,DoS slowloris,5725,3587,0,2127,11
Wednesday,cicflowmeter-orig,yaf,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-orig,joy,ALL,777036,98765,57866,130733,489672
Wednesday,cicflowmeter-orig,joy,BENIGN,373895,47922,41766,55992,228215
Wednesday,cicflowmeter-orig,joy,DoS GoldenEye,10490,4014,746,5651,79
Wednesday,cicflowmeter-orig,joy,DoS Hulk,381811,42386,10190,69077,260158
Wednesday,cicflowmeter-orig,joy,DoS Slowhttptest,5104,1132,3349,5,618
Wednesday,cicflowmeter-orig,joy,DoS slowloris,5725,3310,1805,8,602
Wednesday,cicflowmeter-orig,joy,Heartbleed,11,1,10,0,0
Wednesday,cicflowmeter-fixed,nfstream,ALL,497042,250157,33,183861,62991
