day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
monday-pvt,yaf,go-flows,ALL,2034,1638,31,2,363
monday-pvt,yaf,go-flows,BENIGN,2034,1638,31,2,363
monday-pvt,yaf,joy,ALL,2034,565,114,56,1299
monday-pvt,yaf,joy,BENIGN,2034,565,114,56,1299
monday-pvt,joy,nfstream,ALL,4862,610,15,2802,1435
monday-pvt,joy,nfstream,BENIGN,4862,610,15,2802,1435
monday-pvt,joy,zeek,ALL,4862,2014,10,2784,54
monday-pvt,joy,zeek,BENIGN,4862,2014,10,2784,54
monday-pvt,joy,tranalyzer,ALL,4862,1705,5,3026,126
monday-pvt,joy,tranalyzer,BENIGN,4862,1705,5,3026,126
monday-pvt,joy,cicflowmeter-orig,ALL,4862,117,701,2168,1876
monday-pvt,joy,cicflowmeter-orig,BENIGN,4862,117,701,2168,1876
monday-pvt,joy,cicflowmeter-fixed,ALL,4862,1548,294,2564,456
monday-pvt,joy,cicflowmeter-fixed,BENIGN,4862,1548,294,2564,456
monday-pvt,joy,argus,ALL,4862,1661,0,2460,741
monday-pvt,joy,argus,BENIGN,4862,1661,0,2460,741
monday-pvt,joy,go-flows,ALL,4862,591,39,2795,1437
monday-pvt,joy,go-flows,BENIGN,4862,591,39,2795,1437
monday-pvt,joy,yaf,ALL,4862,565,39,2719,1539
monday-pvt,joy,yaf,BENIGN,4862,565,39,2719,1539
tuesday-pub,nfstream,zeek,ALL,16089,15669,52,137,231
tuesday-pub,nfstream,zeek,BENIGN,9769,9350,52,137,230
tuesday-pub,nfstream,zeek,Reconnaissance,6320,6319,0,0,1
tuesday-pub,nfstream,tranalyzer,ALL,16089,15627,6,304,152
tuesday-pub,nfstream,tranalyzer,BENIGN,9769,9308,6,304,151
tuesday-pub,nfstream,tranalyzer,Reconnaissance,6320,6319,0,0,1
tuesday-pub,nfstream,cicflowmeter-orig,ALL,16089,2408,2399,0,11282
tuesday-pub,nfstream,cicflowmeter-orig,BENIGN,9769,1041,1597,0,7131
tuesday-pub,nfstream,cicflowmeter-orig,Reconnaissance,6320,1367,802,0,4151
tuesday-pub,nfstream,cicflowmeter-fixed,ALL,16089,15212,574,0,303
tuesday-pub,nfstream,cicflowmeter-fixed,BENIGN,9769,8893,574,0,302
tuesday-pub,nfstream,cicflowmeter-fixed,Reconnaissance,6320,6319,0,0,1
tuesday-pub,nfstream,argus,ALL,16089,14485,0,1529,75
tuesday-pub,nfstream,argus,BENIGN,9769,8166,0,1529,74
tuesday-pub,nfstream,argus,Reconnaissance,6320,6319,0,0,1
tuesday-pub,nfstream,go-flows,ALL,16089,13925,2155,0,9
tuesday-pub,nfstream,go-flows,BENIGN,9769,8579,1181,0,9
tuesday-pub,nfstream,go-flows,Reconnaissance,6320,5346,974,0,0
tuesday-pub,nfstream,yaf,ALL,16089,13820,1943,95,231
tuesday-pub,nfstream,yaf,BENIGN,9769,8386,1057,95,231
tuesday-pub,nfstream,yaf,Reconnaissance,6320,5434,886,0,0
tuesday-pub,nfstream,joy,ALL,16089,11425,1205,0,3459
tuesday-pub,nfstream,joy,BENIGN,9769,5118,1193,0,3458
tuesday-pub,nfstream,joy,Reconnaissance,6320,6307,12,0,1
tuesday-pub,zeek,nfstream,ALL,16192,15669,5,204,314
tuesday-pub,zeek,nfstream,BENIGN,9872,9350,5,204,313
tuesday-pub,zeek,nfstream,Reconnaissance,6320,6319,0,0,1
tuesday-pub,zeek,tranalyzer,ALL,16192,15774,0,399,19
tuesday-pub,zeek,tranalyzer,BENIGN,9872,9454,0,399,19
tuesday-pub,zeek,tranalyzer,Reconnaissance,6320,6320,0,0,0
tuesday-pub,zeek,cicflowmeter-orig,ALL,16192,2393,2272,80,11447
tuesday-pub,zeek,cicflowmeter-orig,BENIGN,9872,1023,1475,80,7294
tuesday-pub,zeek,cicflowmeter-orig,Reconnaissance,6320,1370,797,0,4153
tuesday-pub,zeek,cicflowmeter-fixed,ALL,16192,15268,451,108,365
tuesday-pub,zeek,cicflowmeter-fixed,BENIGN,9872,8948,451,108,365
tuesday-pub,zeek,cicflowmeter-fixed,Reconnaissance,6320,6320,0,0,0
tuesday-pub,zeek,argus,ALL,16192,14512,0,1670,10
tuesday-pub,zeek,argus,BENIGN,9872,8192,0,1670,10
tuesday-pub,zeek,argus,Reconnaissance,6320,6320,0,0,0
tuesday-pub,zeek,go-flows,ALL,16192,14602,1090,183,317
tuesday-pub,zeek,go-flows,BENIGN,9872,8991,382,183,316
tuesday-pub,zeek,go-flows,Reconnaissance,6320,5611,708,0,1
tuesday-pub,zeek,yaf,ALL,16192,14539,1090,113,450
tuesday-pub,zeek,yaf,BENIGN,9872,8928,382,113,449
tuesday-pub,zeek,yaf,Reconnaissance,6320,5611,708,0,1
tuesday-pub,zeek,joy,ALL,16192,14883,1141,82,86
tuesday-pub,zeek,joy,BENIGN,9872,8586,1118,82,86
tuesday-pub,zeek,joy,Reconnaissance,6320,6297,23,0,0
tuesday-pub,tranalyzer,nfstream,ALL,15858,15627,15,20,196
tuesday-pub,tranalyzer,nfstream,BENIGN,9538,9308,15,20,195
tuesday-pub,tranalyzer,nfstream,Reconnaissance,6320,6319,0,0,1
tuesday-pub,tranalyzer,zeek,ALL,15858,15774,29,0,55
tuesday-pub,tranalyzer,zeek,BENIGN,9538,9454,29,0,55
tuesday-pub,tranalyzer,zeek,Reconnaissance,6320,6320,0,0,0
tuesday-pub,tranalyzer,cicflowmeter-orig,ALL,15858,2400,2279,0,11179
tuesday-pub,tranalyzer,cicflowmeter-orig,BENIGN,9538,1030,1482,0,7026
tuesday-pub,tranalyzer,cicflowmeter-orig,Reconnaissance,6320,1370,797,0,4153
tuesday-pub,tranalyzer,cicflowmeter-fixed,ALL,15858,15171,462,11,214
tuesday-pub,tranalyzer,cicflowmeter-fixed,BENIGN,9538,8851,462,11,214
